CUI,Canonical name
C0016522,"Foramen Ovale, Patent"
C0457846,Cervical segment of spinal cord
C0578537,Cavitation of lung
C0179751,Epidural catheter
C3489393,Hiatal Hernia
C0730166,Bone structure of fifth metacarpal
C1261077,Structure of left lower lobe of lung
C0152443,Urethral diverticulum
C0227301,Descending part of duodenum
C0031354,Pharyngeal structure
C4039172,Posterior point of nasal spine
C0227387,Left colic flexure
C0227385,Hepatic flexure of colon
C0228126,Leptomeninges
C0230436,Popliteal fossa structure
C0037922,Spinal Canal
C1260954,Morphologically altered structure
C0450184,Jejunal loop
C0729936,Cardiac chamber structure
C0032718,Portal vein structure
C0149543,Base of skull structure
C0027540,Necrosis
C0582254,Entire intrahepatic part of main portal vein
C0227375,Ascending colon
C0006441,Synovial bursa
C0041967,Urethra
C0729538,Saphenous vein graft
C0007144,Cardia of stomach
C0341539,Parastomal hernia
C0085221,Structure of psoas muscle
C0007473,Structure of cavernous sinus
C0227997,Structure of right testis
C0015426,Eyelid structure
C0013303,Duodenum
C0162859,Common carotid artery
C0333161,Pseudocyst
C1261084,Common iliac artery structure
C0225708,Structure of base of right lung
C2973725,Pulmonary arterial hypertension
C0224378,Structure of transversus abdominis muscle
C0007966,Cheek structure
C1321756,Achalasia
C0028784,Occipital bone structure
C0007531,Cecum
C0227457,Structure of left parotid gland
C0042232,Vagina
C0264972,Aneurysm of hepatic artery
C0341318,Enterocutaneous Fistula
C0003855,Arteriovenous fistula
C0262431,Compression fracture of vertebral column
C0040761,Transposition of Great Vessels
C0226707,Structure of middle hepatic vein
C0184149,Nephrostomy tube
C1261316,Right coronary artery structure
C0013687,effusion
C0010384,"Prostheses, Dental, Fixed, Crown, Total, Temporary"
C0442872,Multiple cysts
C0225599,Tracheal bronchus
C0001863,Air bubble
C0228515,Cerebellar peduncle
C0004455,Structure of axillary artery
C0230140,Structure of right thoracic cavity
C0026764,Multiple Myeloma
C0042591,Vessel Positions
C1275667,Common femoral vein
C0227011,Neck of tooth
C5231045,Structure of prostatic artery
C1305393,Entire posterior fossa of cranial cavity
C0007276,Internal carotid artery structure
C0011906,Differential Diagnosis
C0224234,Structure of deltoid muscle
C0206635,Myelolipoma
C0227472,Structure of submaxillary duct
C0225261,Iliac fascia structure
C1288329,Structure of lower uterine segment
C0003090,Ankylosis
C0038001,Structure of splenic vein
C0546483,Lung cyst
C0013075,Structure of rectouterine pouch
C0020164,Bone structure of humerus
C0587240,Erosion of bone
C0227230,Body of stomach
C0224445,Structure of vastus medialis muscle
C0152254,Fatty degeneration
C0223741,Trapezoid bone structure
C0224419,Structure of psoas major muscle
C0227028,Maxillary teeth
C0227560,Structure of left hepatic duct
C0025202,melanoma
C1456806,Entire pulmonary vein
C0222647,Structure of long bone
C0226087,Left common carotid artery structure
C0581269,Thoracic spine structure
C0223947,Navicular Bone of Foot
C0223078,Transverse Processes
C0020663,Hypothalamic structure
C0227716,Neck of urinary bladder
C0333186,Restenosis
C0332448,Infiltration
C0240708,Calcification of pericardium
C1541124,Pyloric obstruction
C0446414,C4 level
C0332265,Demonstrable
C0225706,Right lung
C0030421,Paraganglioma
C0011373,"Implantable dental prosthesis, device"
C0439688,Atelectatic
C0034015,Symphysis pubis structure
C0021102,Implants
C0014871,Esophagogastric Junction
C0226261,Structure of right subclavian artery
C1265788,Daughter cyst
C0225811,Structure of apex of heart
C0038359,Stomach Volvulus
C1261078,Structure of right cusp of aortic valve
C0035065,Structure of renal artery
C0032268,Pneumocephalus
C0224145,Structure of lateral pterygoid muscle
C0230011,Structure of infratemporal fossa
C0027342,Nail plate
C0029423,Cartilaginous exostosis
C0018787,Heart
C0030305,Pancreatitis
C0037009,Joint structure of shoulder region
C0226802,Structure of cephalic vein
C0475319,Pelvic hematoma
C0226761,Structure of external iliac vein
C0227900,Right fallopian tube
C0013770,Elbow joint structure
C0026845,Muscle Tissue
C4281586,Entire external oblique
C0232804,Renal function
C0183514,Esophageal stent
C1956257,Pulmonary Stenosis
C0222748,Structure of ramus of mandible
C1510667,Forefoot
C0039520,Tenosynovitis
C0700198,Pulmonary aspiration
C0229089,Right eye
C0235592,Cervical lymphadenopathy
C0588200,Bone structure of distal tibia
C0022821,Kyphosis deformity of spine
C0151693,Adrenal hemorrhage
C0036202,Sarcoidosis
C0205054,Hepatic
C0022745,Knee joint
C0206633,Angiomyolipoma
C0030288,Pancreatic duct
C0038257,"Stent, device"
C0015455,Bone structure of face
C0225991,Structure of great blood vessel (organ)
C0027809,Neurilemmoma
C0032046,Placenta Previa
C0265903,Single coronary artery
C1269845,Structure of hemidiaphragm
C0230447,Structure of right ankle
C0183518,Ureteric stent
C0017639,Gliosis
C0018798,Congenital Heart Defects
C0588210,Bone structure of shaft of humerus
C0226812,Structure of brachial vein
C0266393,Congenital duplication of uterus
C0729594,Axillary lymph node group
C0230054,Structure of suprasellar region
C0345002,Quadricuspid Aortic Valve
C4511687,Pancreatic Intraductal Papillary Mucinous Neoplasm
