ID,CUIs
ROCOv2_2023_train_000001,C0040405
ROCOv2_2023_train_000002,C0041618
ROCOv2_2023_train_000003,C0040405
ROCOv2_2023_train_000004,C0002978
ROCOv2_2023_train_000005,C0040405
ROCOv2_2023_train_000006,C0040405
ROCOv2_2023_train_000007,C0040405
ROCOv2_2023_train_000008,C0040405
ROCOv2_2023_train_000009,C0040405
ROCOv2_2023_train_000010,C0040405
ROCOv2_2023_train_000011,C0040405
ROCOv2_2023_train_000012,C0024485
ROCOv2_2023_train_000013,C0024485
ROCOv2_2023_train_000014,C0024485
ROCOv2_2023_train_000015,C0040405
ROCOv2_2023_train_000016,C0040405
ROCOv2_2023_train_000017,C0041618
ROCOv2_2023_train_000018,C0041618
ROCOv2_2023_train_000019,C0041618
ROCOv2_2023_train_000020,C0041618
ROCOv2_2023_train_000021,C0041618
ROCOv2_2023_train_000022,C0041618
ROCOv2_2023_train_000023,C0040405
ROCOv2_2023_train_000024,C0002978
ROCOv2_2023_train_000025,C0002978
ROCOv2_2023_train_000026,C0040405
ROCOv2_2023_train_000027,C0040405
ROCOv2_2023_train_000028,C0040405
ROCOv2_2023_train_000029,C0040405
ROCOv2_2023_train_000030,C0040405
ROCOv2_2023_train_000031,C0040405
ROCOv2_2023_train_000032,C1306645;C0817096;C1996865
ROCOv2_2023_train_000033,C0040405
ROCOv2_2023_train_000034,C1306645;C0817096;C1996865
ROCOv2_2023_train_000035,C0002978
ROCOv2_2023_train_000036,C0002978
ROCOv2_2023_train_000037,C0002978
ROCOv2_2023_train_000038,C0040405
ROCOv2_2023_train_000039,C0040405
ROCOv2_2023_train_000040,C0040405
ROCOv2_2023_train_000041,C1306645;C0817096;C1996865
ROCOv2_2023_train_000042,C0040405
ROCOv2_2023_train_000043,C0040405
ROCOv2_2023_train_000044,C0040405
ROCOv2_2023_train_000045,C0040405
ROCOv2_2023_train_000046,C0040405
ROCOv2_2023_train_000047,C0041618
ROCOv2_2023_train_000048,C0041618
ROCOv2_2023_train_000049,C1306645;C0000726;C1996865
ROCOv2_2023_train_000050,C0024485
ROCOv2_2023_train_000051,C0040405
ROCOv2_2023_train_000052,C0024485
ROCOv2_2023_train_000053,C0024485
ROCOv2_2023_train_000054,C0040405
ROCOv2_2023_train_000055,C0040405
ROCOv2_2023_train_000056,C0040405
ROCOv2_2023_train_000057,C1306645;C0817096;C1996865
ROCOv2_2023_train_000058,C0040405
ROCOv2_2023_train_000059,C0041618
ROCOv2_2023_train_000060,C0024485
ROCOv2_2023_train_000061,C0041618
ROCOv2_2023_train_000062,C0040405
ROCOv2_2023_train_000063,C0024485
ROCOv2_2023_train_000064,C0041618
ROCOv2_2023_train_000065,C1306645;C0023216;C1999039
ROCOv2_2023_train_000066,C0024485
ROCOv2_2023_train_000067,C1306645;C0817096;C1996865
ROCOv2_2023_train_000068,C0032743
ROCOv2_2023_train_000069,C0040405
ROCOv2_2023_train_000070,C0040405
ROCOv2_2023_train_000071,C1306645;C0037303
ROCOv2_2023_train_000072,C0040405
ROCOv2_2023_train_000073,C0024485
